InstitutionId,InstitutionName,col_cat,Value,Period
416088,NEDBANK LTD,C_savings,8251923.0,2008-03-01
416088,NEDBANK LTD,D_term_wholesale,119576472.0,2008-03-01
TOTAL,*TOTAL*,A_operational,778187141.26,2008-03-01
TOTAL,*TOTAL*,B_notice_short,299706933.56,2008-03-01
TOTAL,*TOTAL*,C_savings,88674452.07,2008-03-01
TOTAL,*TOTAL*,D_term_wholesale,703343231.55,2008-03-01
25054,INVESTEC BANK LTD,A_operational,31137749.0,2008-04-01
25054,INVESTEC BANK LTD,B_notice_short,27822967.0,2008-04-01
25054,INVESTEC BANK LTD,C_savings,2860336.0,2008-04-01
25054,INVESTEC BANK LTD,D_term_wholesale,56006906.0,2008-04-01
333107,CAPITEC BANK,A_operational,17793.0,2008-04-01
333107,CAPITEC BANK,B_notice_short,178548.0,2008-04-01
333107,CAPITEC BANK,C_savings,920342.0,2008-04-01
333107,CAPITEC BANK,D_term_wholesale,469745.0,2008-04-01
34118,ABSA BANK LTD,A_operational,149139335.0,2008-04-01
34118,ABSA BANK LTD,B_notice_short,60873996.0,2008-04-01
34118,ABSA BANK LTD,C_savings,42324858.0,2008-04-01
34118,ABSA BANK LTD,D_term_wholesale,190939896.0,2008-04-01
416053,FIRSTRAND BANK LIMITED,A_operational,198096945.67000002,2008-04-01
416053,FIRSTRAND BANK LIMITED,B_notice_short,48698927.66,2008-04-01
416053,FIRSTRAND BANK LIMITED,C_savings,1737974.89,2008-04-01
416053,FIRSTRAND BANK LIMITED,D_term_wholesale,125687627.92,2008-04-01
416061,THE STANDARD BANK OF S A LTD,A_operational,122890502.0,2008-04-01
416061,THE STANDARD BANK OF S A LTD,B_notice_short,114111888.0,2008-04-01
416061,THE STANDARD BANK OF S A LTD,C_savings,33302879.0,2008-04-01
416061,THE STANDARD BANK OF S A LTD,D_term_wholesale,160598322.0,2008-04-01
416088,NEDBANK LTD,A_operational,158082278.0,2008-04-01
416088,NEDBANK LTD,B_notice_short,65596023.0,2008-04-01
416088,NEDBANK LTD,C_savings,8277256.0,2008-04-01
416088,NEDBANK LTD,D_term_wholesale,135410991.0,2008-04-01
TOTAL,*TOTAL*,A_operational,706306386.86,2008-04-01
TOTAL,*TOTAL*,B_notice_short,350540175.39,2008-04-01
TOTAL,*TOTAL*,C_savings,92001810.89,2008-04-01
TOTAL,*TOTAL*,D_term_wholesale,739430736.02,2008-04-01
25054,INVESTEC BANK LTD,A_operational,30635831.0,2008-05-01
25054,INVESTEC BANK LTD,B_notice_short,32845959.0,2008-05-01
25054,INVESTEC BANK LTD,C_savings,2814358.0,2008-05-01
25054,INVESTEC BANK LTD,D_term_wholesale,52391440.0,2008-05-01
333107,CAPITEC BANK,A_operational,43959.0,2008-05-01
333107,CAPITEC BANK,B_notice_short,11173.0,2008-05-01
333107,CAPITEC BANK,C_savings,952019.0,2008-05-01
333107,CAPITEC BANK,D_term_wholesale,960547.0,2008-05-01
34118,ABSA BANK LTD,A_operational,138999760.0,2008-05-01
34118,ABSA BANK LTD,B_notice_short,89301635.0,2008-05-01
34118,ABSA BANK LTD,C_savings,44515729.0,2008-05-01
34118,ABSA BANK LTD,D_term_wholesale,174189049.0,2008-05-01
