Period,KBP,Value
2015-03-01,KBP1613M,2.04
2015-03-01,KBP1614M,4.18
2015-03-01,KBP1615M,2.65
2015-03-01,KBP1616M,5.2
2015-03-01,KBP1617M,5.81
2015-03-01,KBP1618M,6.17
2015-03-01,KBP1619M,6.69
2015-03-01,KBP1620M,6.28
2015-03-01,KBP1621M,7.11
2015-03-01,KBP1622M,7.43
2015-03-01,KBP1623M,7.74
2015-03-01,KBP1624M,6.31
2015-03-01,KBP1625M,5.4
2015-03-01,KBP1485M,5.75
2015-04-01,KBP1600M,2.32
2015-04-01,KBP1601M,4.99
2015-04-01,KBP1602M,5.5
2015-04-01,KBP1603M,5.04
2015-04-01,KBP1604M,0.74
2015-04-01,KBP1605M,5.04
2015-04-01,KBP1606M,5.02
2015-04-01,KBP1607M,6.1
2015-04-01,KBP1608M,5.92
2015-04-01,KBP1609M,6.23
2015-04-01,KBP1610M,6.83
2015-04-01,KBP1611M,7.97
2015-04-01,KBP1612M,8.55
2015-04-01,KBP1613M,2.23
2015-04-01,KBP1614M,4.21
2015-04-01,KBP1615M,2.67
2015-04-01,KBP1616M,5.24
2015-04-01,KBP1617M,5.69
2015-04-01,KBP1618M,5.96
2015-04-01,KBP1619M,6.73
2015-04-01,KBP1620M,6.33
2015-04-01,KBP1621M,7.12
2015-04-01,KBP1622M,7.44
2015-04-01,KBP1623M,7.71
2015-04-01,KBP1624M,6.37
2015-04-01,KBP1625M,5.42
2015-04-01,KBP1485M,5.75
2015-05-01,KBP1600M,2.32
2015-05-01,KBP1601M,5.09
2015-05-01,KBP1602M,5.5
2015-05-01,KBP1603M,5.08
2015-05-01,KBP1604M,0.75
2015-05-01,KBP1605M,5.07
2015-05-01,KBP1606M,4.99
2015-05-01,KBP1607M,6.09
2015-05-01,KBP1608M,5.83
2015-05-01,KBP1609M,6.26
2015-05-01,KBP1610M,6.9
2015-05-01,KBP1611M,7.98
2015-05-01,KBP1612M,8.61
2015-05-01,KBP1613M,2.1
2015-05-01,KBP1614M,4.2
2015-05-01,KBP1615M,2.69
2015-05-01,KBP1616M,5.25
2015-05-01,KBP1617M,5.76
2015-05-01,KBP1618M,6.17
2015-05-01,KBP1619M,6.69
2015-05-01,KBP1620M,6.28
2015-05-01,KBP1621M,7.12
2015-05-01,KBP1622M,7.36
2015-05-01,KBP1623M,7.74
2015-05-01,KBP1624M,6.4
2015-05-01,KBP1625M,5.46
2015-05-01,KBP1485M,5.75
2015-06-01,KBP1600M,2.32
2015-06-01,KBP1601M,5.06
2015-06-01,KBP1602M,5.47
2015-06-01,KBP1603M,5.05
2015-06-01,KBP1604M,0.74
2015-06-01,KBP1605M,5.07
2015-06-01,KBP1606M,5.03
2015-06-01,KBP1607M,5.5
2015-06-01,KBP1608M,5.76
2015-06-01,KBP1609M,6.28
2015-06-01,KBP1610M,6.96
2015-06-01,KBP1611M,8.0
2015-06-01,KBP1612M,8.62
2015-06-01,KBP1613M,2.12
2015-06-01,KBP1614M,4.17
2015-06-01,KBP1615M,2.7
2015-06-01,KBP1616M,5.25
2015-06-01,KBP1617M,5.65
2015-06-01,KBP1618M,6.17
2015-06-01,KBP1619M,6.61
2015-06-01,KBP1620M,6.28
2015-06-01,KBP1621M,7.15
2015-06-01,KBP1622M,7.4
2015-06-01,KBP1623M,7.76
2015-06-01,KBP1624M,6.4
2015-06-01,KBP1625M,5.45
2015-06-01,KBP1485M,5.75
2015-07-01,KBP1600M,2.37
2015-07-01,KBP1601M,5.19
2015-07-01,KBP1602M,5.5
2015-07-01,KBP1603M,5.12
2015-07-01,KBP1604M,0.78
2015-07-01,KBP1605M,5.18
2015-07-01,KBP1606M,5.23
2015-07-01,KBP1607M,5.54
2015-07-01,KBP1608M,5.79
2015-07-01,KBP1609M,6.33
2015-07-01,KBP1610M,7.09
2015-07-01,KBP1611M,7.97
2015-07-01,KBP1612M,8.65
2015-07-01,KBP1613M,2.15
2015-07-01,KBP1614M,4.3
2015-07-01,KBP1615M,2.75
2015-07-01,KBP1616M,5.36
2015-07-01,KBP1617M,5.77
2015-07-01,KBP1618M,6.17
2015-07-01,KBP1619M,6.63
2015-07-01,KBP1620M,6.27
2015-07-01,KBP1621M,7.22
2015-07-01,KBP1622M,7.4
2015-07-01,KBP1623M,7.75
2015-07-01,KBP1624M,6.42
2015-07-01,KBP1625M,5.49
2015-07-01,KBP1485M,6.0
2015-08-01,KBP1600M,2.46
2015-08-01,KBP1601M,5.24
2015-08-01,KBP1602M,5.51
2015-08-01,KBP1603M,5.18
2015-08-01,KBP1604M,0.8
2015-08-01,KBP1605M,5.23
2015-08-01,KBP1606M,5.29
2015-08-01,KBP1607M,5.49
2015-08-01,KBP1608M,5.71
2015-08-01,KBP1609M,6.36
2015-08-01,KBP1610M,7.13
2015-08-01,KBP1611M,8.02
2015-08-01,KBP1612M,8.67
2015-08-01,KBP1613M,1.99
2015-08-01,KBP1614M,4.38
2015-08-01,KBP1615M,2.82
2015-08-01,KBP1616M,5.41
2015-08-01,KBP1617M,5.86
2015-08-01,KBP1618M,6.03
2015-08-01,KBP1619M,6.76
2015-08-01,KBP1620M,6.37
2015-08-01,KBP1621M,7.26
2015-08-01,KBP1622M,7.56
2015-08-01,KBP1623M,7.82
2015-08-01,KBP1624M,6.41
2015-08-01,KBP1625M,5.53
2015-08-01,KBP1485M,6.0
2015-09-01,KBP1600M,2.39
2015-09-01,KBP1601M,5.26
2015-09-01,KBP1602M,5.5
2015-09-01,KBP1603M,5.17
2015-09-01,KBP1604M,0.81
2015-09-01,KBP1605M,5.19
2015-09-01,KBP1606M,5.31
2015-09-01,KBP1607M,5.63
2015-09-01,KBP1608M,5.41
2015-09-01,KBP1609M,6.38
2015-09-01,KBP1610M,7.16
2015-09-01,KBP1611M,8.07
2015-09-01,KBP1612M,8.76
2015-09-01,KBP1613M,1.98
2015-09-01,KBP1614M,4.38
2015-09-01,KBP1615M,2.78
2015-09-01,KBP1616M,5.42
2015-09-01,KBP1617M,5.85
2015-09-01,KBP1618M,6.09
2015-09-01,KBP1619M,6.61
2015-09-01,KBP1620M,6.37
2015-09-01,KBP1621M,7.3
2015-09-01,KBP1622M,7.65
2015-09-01,KBP1623M,8.03
2015-09-01,KBP1624M,6.41
2015-09-01,KBP1625M,5.52
2015-09-01,KBP1485M,6.0
2015-10-01,KBP1600M,2.44
2015-10-01,KBP1601M,5.4
2015-10-01,KBP1602M,5.56
2015-10-01,KBP1603M,5.23
2015-10-01,KBP1604M,0.82
2015-10-01,KBP1605M,5.23
2015-10-01,KBP1606M,5.33
2015-10-01,KBP1607M,5.6
2015-10-01,KBP1608M,5.0
2015-10-01,KBP1609M,6.4
2015-10-01,KBP1610M,7.18
2015-10-01,KBP1611M,8.12
2015-10-01,KBP1612M,8.74
2015-10-01,KBP1613M,1.81
2015-10-01,KBP1614M,4.43
2015-10-01,KBP1615M,2.8
2015-10-01,KBP1616M,5.63
2015-10-01,KBP1617M,5.93
2015-10-01,KBP1618M,6.02
2015-10-01,KBP1619M,6.57
2015-10-01,KBP1620M,6.43
2015-10-01,KBP1621M,7.31
2015-10-01,KBP1622M,7.71
2015-10-01,KBP1623M,7.82
2015-10-01,KBP1624M,6.46
2015-10-01,KBP1625M,5.59
2015-10-01,KBP1485M,6.0
2015-11-01,KBP1600M,2.5
2015-11-01,KBP1601M,5.52
2015-11-01,KBP1602M,5.6
2015-11-01,KBP1603M,5.28
2015-11-01,KBP1604M,0.83
2015-11-01,KBP1605M,5.37
2015-11-01,KBP1606M,5.54
2015-11-01,KBP1607M,5.69
2015-11-01,KBP1608M,4.65
2015-11-01,KBP1609M,6.45
2015-11-01,KBP1610M,7.23
2015-11-01,KBP1611M,8.14
2015-11-01,KBP1612M,8.76
2015-11-01,KBP1613M,2.05
2015-11-01,KBP1614M,4.52
2015-11-01,KBP1615M,2.88
2015-11-01,KBP1616M,5.74
2015-11-01,KBP1617M,5.95
2015-11-01,KBP1618M,6.31
2015-11-01,KBP1619M,6.86
2015-11-01,KBP1620M,6.47
2015-11-01,KBP1621M,7.38
2015-11-01,KBP1622M,7.77
2015-11-01,KBP1623M,7.87
2015-11-01,KBP1624M,6.51
2015-11-01,KBP1625M,5.63
2015-11-01,KBP1485M,6.25
2015-12-01,KBP1600M,2.54
2015-12-01,KBP1601M,5.62
2015-12-01,KBP1602M,5.64
2015-12-01,KBP1603M,5.34
2015-12-01,KBP1604M,0.8
2015-12-01,KBP1605M,5.49
2015-12-01,KBP1606M,5.65
2015-12-01,KBP1607M,5.99
2015-12-01,KBP1608M,4.96
2015-12-01,KBP1609M,6.53
2015-12-01,KBP1610M,7.28
2015-12-01,KBP1611M,8.18
2015-12-01,KBP1612M,8.8
2015-12-01,KBP1613M,1.88
2015-12-01,KBP1614M,4.62
2015-12-01,KBP1615M,2.88
2015-12-01,KBP1616M,5.81
2015-12-01,KBP1617M,6.25
2015-12-01,KBP1618M,6.49
2015-12-01,KBP1619M,7.15
2015-12-01,KBP1620M,6.46
2015-12-01,KBP1621M,7.19
2015-12-01,KBP1622M,7.1
2015-12-01,KBP1623M,7.94
2015-12-01,KBP1624M,6.55
2015-12-01,KBP1625M,5.66
2015-12-01,KBP1485M,6.25
2016-01-01,KBP1600M,2.67
2016-01-01,KBP1601M,5.89
2016-01-01,KBP1602M,5.77
2016-01-01,KBP1603M,5.55
2016-01-01,KBP1604M,0.89
2016-01-01,KBP1605M,5.7
2016-01-01,KBP1606M,5.68
2016-01-01,KBP1607M,6.04
2016-01-01,KBP1608M,5.73
2016-01-01,KBP1609M,6.62
2016-01-01,KBP1610M,7.33
2016-01-01,KBP1611M,8.24
2016-01-01,KBP1612M,8.83
2016-01-01,KBP1613M,1.87
2016-01-01,KBP1614M,4.75
2016-01-01,KBP1615M,3.02
2016-01-01,KBP1616M,6.11
2016-01-01,KBP1617M,6.28
2016-01-01,KBP1618M,6.61
2016-01-01,KBP1619M,7.36
2016-01-01,KBP1620M,6.58
2016-01-01,KBP1621M,7.62
2016-01-01,KBP1622M,7.96
2016-01-01,KBP1623M,7.94
2016-01-01,KBP1624M,6.67
2016-01-01,KBP1625M,5.89
2016-01-01,KBP1485M,6.75
2016-02-01,KBP1600M,2.82
2016-02-01,KBP1601M,6.1
2016-02-01,KBP1602M,5.9
2016-02-01,KBP1603M,5.74
2016-02-01,KBP1604M,0.97
2016-02-01,KBP1605M,5.97
2016-02-01,KBP1606M,6.12
2016-02-01,KBP1607M,6.33
2016-02-01,KBP1608M,5.34
2016-02-01,KBP1609M,6.73
2016-02-01,KBP1610M,7.39
2016-02-01,KBP1611M,8.31
2016-02-01,KBP1612M,8.97
2016-02-01,KBP1613M,2.0
2016-02-01,KBP1614M,4.94
2016-02-01,KBP1615M,3.21
2016-02-01,KBP1616M,6.29
2016-02-01,KBP1617M,6.66
2016-02-01,KBP1618M,6.9
2016-02-01,KBP1619M,7.64
2016-02-01,KBP1620M,6.76
2016-02-01,KBP1621M,7.72
2016-02-01,KBP1622M,8.18
2016-02-01,KBP1623M,8.31
2016-02-01,KBP1624M,6.79
2016-02-01,KBP1625M,6.08
2016-02-01,KBP1485M,6.75
2016-03-01,KBP1600M,2.79
2016-03-01,KBP1601M,6.3
2016-03-01,KBP1602M,6.02
2016-03-01,KBP1603M,5.86
2016-03-01,KBP1604M,0.94
2016-03-01,KBP1605M,6.17
2016-03-01,KBP1606M,6.35
2016-03-01,KBP1607M,7.08
2016-03-01,KBP1608M,5.43
2016-03-01,KBP1609M,6.92
2016-03-01,KBP1610M,7.47
2016-03-01,KBP1611M,8.39
2016-03-01,KBP1612M,9.0
2016-03-01,KBP1613M,2.14
2016-03-01,KBP1614M,5.11
2016-03-01,KBP1615M,3.17
2016-03-01,KBP1616M,6.46
2016-03-01,KBP1617M,6.92
2016-03-01,KBP1618M,7.09
2016-03-01,KBP1619M,7.78
2016-03-01,KBP1620M,6.99
2016-03-01,KBP1621M,7.72
2016-03-01,KBP1622M,8.21
2016-03-01,KBP1623M,7.79
2016-03-01,KBP1624M,6.89
2016-03-01,KBP1625M,6.18
2016-03-01,KBP1485M,7.0
2016-04-01,KBP1600M,2.85
2016-04-01,KBP1601M,6.33
2016-04-01,KBP1602M,6.08
2016-04-01,KBP1603M,5.92
2016-04-01,KBP1604M,0.97
2016-04-01,KBP1605M,6.25
2016-04-01,KBP1606M,6.39
2016-04-01,KBP1607M,7.2
2016-04-01,KBP1608M,5.43
2016-04-01,KBP1609M,7.04
2016-04-01,KBP1610M,7.55
2016-04-01,KBP1611M,8.48
2016-04-01,KBP1612M,9.06
2016-04-01,KBP1613M,2.17
2016-04-01,KBP1614M,5.18
2016-04-01,KBP1615M,3.22
2016-04-01,KBP1616M,6.5
2016-04-01,KBP1617M,7.01
2016-04-01,KBP1618M,7.28
2016-04-01,KBP1619M,7.84
2016-04-01,KBP1620M,7.0
2016-04-01,KBP1621M,7.9
2016-04-01,KBP1622M,8.38
2016-04-01,KBP1623M,7.94
2016-04-01,KBP1624M,6.97
2016-04-01,KBP1625M,6.24
2016-04-01,KBP1485M,7.0
2016-05-01,KBP1600M,2.76
2016-05-01,KBP1601M,6.34
2016-05-01,KBP1602M,6.18
2016-05-01,KBP1603M,5.96
2016-05-01,KBP1604M,0.99
2016-05-01,KBP1605M,6.26
2016-05-01,KBP1606M,6.4
2016-05-01,KBP1607M,7.21
2016-05-01,KBP1608M,5.57
2016-05-01,KBP1609M,7.14
2016-05-01,KBP1610M,7.61
2016-05-01,KBP1611M,8.59
2016-05-01,KBP1612M,9.14
2016-05-01,KBP1613M,2.18
2016-05-01,KBP1614M,5.22
2016-05-01,KBP1615M,3.17
2016-05-01,KBP1616M,6.51
2016-05-01,KBP1617M,6.95
2016-05-01,KBP1618M,7.16
2016-05-01,KBP1619M,7.9
2016-05-01,KBP1620M,7.01
2016-05-01,KBP1621M,8.03
2016-05-01,KBP1622M,8.44
2016-05-01,KBP1623M,8.08
2016-05-01,KBP1624M,7.05
2016-05-01,KBP1625M,6.29
2016-05-01,KBP1485M,7.0
2016-06-01,KBP1600M,2.74
2016-06-01,KBP1601M,6.38
2016-06-01,KBP1602M,6.2
2016-06-01,KBP1603M,6.0
2016-06-01,KBP1604M,0.99
2016-06-01,KBP1605M,6.29
2016-06-01,KBP1606M,6.41
2016-06-01,KBP1607M,7.25
2016-06-01,KBP1608M,5.33
2016-06-01,KBP1609M,7.26
2016-06-01,KBP1610M,7.68
2016-06-01,KBP1611M,8.68
2016-06-01,KBP1612M,9.25
2016-06-01,KBP1613M,2.25
2016-06-01,KBP1614M,5.25
2016-06-01,KBP1615M,3.17
2016-06-01,KBP1616M,6.53
2016-06-01,KBP1617M,6.95
2016-06-01,KBP1618M,7.21
2016-06-01,KBP1619M,7.8
2016-06-01,KBP1620M,7.16
2016-06-01,KBP1621M,8.28
2016-06-01,KBP1622M,8.57
2016-06-01,KBP1623M,8.04
2016-06-01,KBP1624M,7.08
2016-06-01,KBP1625M,6.34
2016-06-01,KBP1485M,7.0
2016-07-01,KBP1600M,2.67
2016-07-01,KBP1601M,6.36
2016-07-01,KBP1602M,6.27
2016-07-01,KBP1603M,6.0
2016-07-01,KBP1604M,0.97
2016-07-01,KBP1605M,6.29
2016-07-01,KBP1606M,6.42
2016-07-01,KBP1607M,7.25
2016-07-01,KBP1608M,5.52
2016-07-01,KBP1609M,7.34
2016-07-01,KBP1610M,7.78
2016-07-01,KBP1611M,8.78
2016-07-01,KBP1612M,9.39
2016-07-01,KBP1613M,1.8
2016-07-01,KBP1614M,5.28
2016-07-01,KBP1615M,3.13
2016-07-01,KBP1616M,6.53
2016-07-01,KBP1617M,6.75
2016-07-01,KBP1618M,7.17
2016-07-01,KBP1619M,7.83
2016-07-01,KBP1620M,7.21
2016-07-01,KBP1621M,8.36
2016-07-01,KBP1622M,8.56
2016-07-01,KBP1623M,8.13
2016-07-01,KBP1624M,7.16
2016-07-01,KBP1625M,6.34
2016-07-01,KBP1485M,7.0
2016-08-01,KBP1600M,2.78
2016-08-01,KBP1601M,6.37
2016-08-01,KBP1602M,6.37
2016-08-01,KBP1603M,6.07
2016-08-01,KBP1604M,0.96
2016-08-01,KBP1605M,6.31
2016-08-01,KBP1606M,6.44
2016-08-01,KBP1607M,7.27
2016-08-01,KBP1608M,5.51
2016-08-01,KBP1609M,7.39
2016-08-01,KBP1610M,7.88
2016-08-01,KBP1611M,8.87
2016-08-01,KBP1612M,9.48
2016-08-01,KBP1613M,1.81
2016-08-01,KBP1614M,5.39
2016-08-01,KBP1615M,3.21
2016-08-01,KBP1616M,6.54
2016-08-01,KBP1617M,6.91
2016-08-01,KBP1618M,7.28
2016-08-01,KBP1619M,7.72
2016-08-01,KBP1620M,7.23
2016-08-01,KBP1621M,8.34
2016-08-01,KBP1622M,8.7
2016-08-01,KBP1623M,8.32
2016-08-01,KBP1624M,7.16
2016-08-01,KBP1625M,6.38
2016-08-01,KBP1485M,7.0
2016-09-01,KBP1600M,2.68
2016-09-01,KBP1601M,6.4
2016-09-01,KBP1602M,6.4
2016-09-01,KBP1603M,6.12
2016-09-01,KBP1604M,0.91
2016-09-01,KBP1605M,6.32
2016-09-01,KBP1606M,6.46
2016-09-01,KBP1607M,7.33
2016-09-01,KBP1608M,5.53
2016-09-01,KBP1609M,7.52
2016-09-01,KBP1610M,7.96
2016-09-01,KBP1611M,8.95
2016-09-01,KBP1612M,9.53
2016-09-01,KBP1613M,2.15
2016-09-01,KBP1614M,5.45
2016-09-01,KBP1615M,3.15
2016-09-01,KBP1616M,6.56
2016-09-01,KBP1617M,6.97
2016-09-01,KBP1618M,7.33
2016-09-01,KBP1619M,7.77
2016-09-01,KBP1620M,7.43
2016-09-01,KBP1621M,8.42
2016-09-01,KBP1622M,8.7
2016-09-01,KBP1623M,8.23
2016-09-01,KBP1624M,7.16
2016-09-01,KBP1625M,6.43
2016-09-01,KBP1485M,7.0
2016-10-01,KBP1600M,2.65
2016-10-01,KBP1601M,6.39
2016-10-01,KBP1602M,6.7
2016-10-01,KBP1603M,6.22
2016-10-01,KBP1604M,0.91
2016-10-01,KBP1605M,6.34
2016-10-01,KBP1606M,6.48
2016-10-01,KBP1607M,7.32
2016-10-01,KBP1608M,5.63
2016-10-01,KBP1609M,7.52
2016-10-01,KBP1610M,8.07
2016-10-01,KBP1611M,9.02
2016-10-01,KBP1612M,9.62
2016-10-01,KBP1613M,2.18
2016-10-01,KBP1614M,5.52
2016-10-01,KBP1615M,3.15
2016-10-01,KBP1616M,6.52
2016-10-01,KBP1617M,7.05
2016-10-01,KBP1618M,7.32
2016-10-01,KBP1619M,7.75
2016-10-01,KBP1620M,7.5
2016-10-01,KBP1621M,8.48
2016-10-01,KBP1622M,8.7
2016-10-01,KBP1623M,8.27
2016-10-01,KBP1624M,7.42
2016-10-01,KBP1625M,6.53
2016-10-01,KBP1485M,7.0
2016-11-01,KBP1600M,2.36
2016-11-01,KBP1601M,6.42
2016-11-01,KBP1602M,6.75
2016-11-01,KBP1603M,6.19
2016-11-01,KBP1604M,0.91
2016-11-01,KBP1605M,6.38
2016-11-01,KBP1606M,6.5
2016-11-01,KBP1607M,7.38
2016-11-01,KBP1608M,5.62
2016-11-01,KBP1609M,7.6
2016-11-01,KBP1610M,8.16
2016-11-01,KBP1611M,9.07
2016-11-01,KBP1612M,9.67
2016-11-01,KBP1613M,2.29
2016-11-01,KBP1614M,5.52
2016-11-01,KBP1615M,3.0
2016-11-01,KBP1616M,6.56
2016-11-01,KBP1617M,6.99
2016-11-01,KBP1618M,7.38
2016-11-01,KBP1619M,7.82
2016-11-01,KBP1620M,7.55
2016-11-01,KBP1621M,8.58
2016-11-01,KBP1622M,8.74
2016-11-01,KBP1623M,8.36
2016-11-01,KBP1624M,7.48
2016-11-01,KBP1625M,6.53
2016-11-01,KBP1485M,7.0
2016-12-01,KBP1600M,2.32
2016-12-01,KBP1601M,6.41
2016-12-01,KBP1602M,6.65
2016-12-01,KBP1603M,6.14
2016-12-01,KBP1604M,0.82
2016-12-01,KBP1605M,6.38
2016-12-01,KBP1606M,6.55
2016-12-01,KBP1607M,7.35
2016-12-01,KBP1608M,6.11
2016-12-01,KBP1609M,7.61
2016-12-01,KBP1610M,8.25
2016-12-01,KBP1611M,9.12
2016-12-01,KBP1612M,9.72
2016-12-01,KBP1613M,2.07
2016-12-01,KBP1614M,5.54
2016-12-01,KBP1615M,2.96
2016-12-01,KBP1616M,6.55
2016-12-01,KBP1617M,7.02
2016-12-01,KBP1618M,7.44
2016-12-01,KBP1619M,7.89
2016-12-01,KBP1620M,7.49
2016-12-01,KBP1621M,8.52
2016-12-01,KBP1622M,8.75
2016-12-01,KBP1623M,8.29
2016-12-01,KBP1624M,7.38
2016-12-01,KBP1625M,6.45
2016-12-01,KBP1485M,7.0
2017-01-01,KBP1600M,2.34
2017-01-01,KBP1601M,6.42
2017-01-01,KBP1602M,6.63
2017-01-01,KBP1603M,6.15
2017-01-01,KBP1604M,0.87
2017-01-01,KBP1605M,6.4
2017-01-01,KBP1606M,6.55
2017-01-01,KBP1607M,7.33
2017-01-01,KBP1608M,6.13
2017-01-01,KBP1609M,7.66
2017-01-01,KBP1610M,8.34
2017-01-01,KBP1611M,9.18
2017-01-01,KBP1612M,9.76
2017-01-01,KBP1613M,2.05
2017-01-01,KBP1614M,5.59
2017-01-01,KBP1615M,3.0
2017-01-01,KBP1616M,6.55
2017-01-01,KBP1617M,7.01
2017-01-01,KBP1618M,7.4
2017-01-01,KBP1619M,7.87
2017-01-01,KBP1620M,7.44
2017-01-01,KBP1621M,8.5
2017-01-01,KBP1622M,8.72
2017-01-01,KBP1623M,8.35
2017-01-01,KBP1624M,7.34
2017-01-01,KBP1625M,6.46
2017-01-01,KBP1485M,7.0
2017-02-01,KBP1600M,2.29
2017-02-01,KBP1601M,6.39
2017-02-01,KBP1602M,6.65
2017-02-01,KBP1603M,6.15
2017-02-01,KBP1604M,0.87
2017-02-01,KBP1605M,6.39
2017-02-01,KBP1606M,6.56
2017-02-01,KBP1607M,7.33
2017-02-01,KBP1608M,6.16
2017-02-01,KBP1609M,7.69
2017-02-01,KBP1610M,8.42
2017-02-01,KBP1611M,9.22
2017-02-01,KBP1612M,9.81
2017-02-01,KBP1613M,1.93
2017-02-01,KBP1614M,5.6
2017-02-01,KBP1615M,2.94
2017-02-01,KBP1616M,6.52
2017-02-01,KBP1617M,7.03
2017-02-01,KBP1618M,7.41
2017-02-01,KBP1619M,7.92
2017-02-01,KBP1620M,7.45
2017-02-01,KBP1621M,8.49
2017-02-01,KBP1622M,8.73
2017-02-01,KBP1623M,8.26
2017-02-01,KBP1624M,7.38
2017-02-01,KBP1625M,6.47
2017-02-01,KBP1485M,7.0
2017-03-01,KBP1600M,2.31
2017-03-01,KBP1601M,6.43
2017-03-01,KBP1602M,6.64
2017-03-01,KBP1603M,6.17
2017-03-01,KBP1604M,0.91
2017-03-01,KBP1605M,6.4
2017-03-01,KBP1606M,6.54
2017-03-01,KBP1607M,7.34
2017-03-01,KBP1608M,5.7
2017-03-01,KBP1609M,7.74
2017-03-01,KBP1610M,8.48
2017-03-01,KBP1611M,9.27
2017-03-01,KBP1612M,9.83
2017-03-01,KBP1613M,2.74
2017-03-01,KBP1614M,5.65
2017-03-01,KBP1615M,2.93
2017-03-01,KBP1616M,6.57
2017-03-01,KBP1617M,7.04
2017-03-01,KBP1618M,7.44
2017-03-01,KBP1619M,7.85
2017-03-01,KBP1620M,7.47
2017-03-01,KBP1621M,8.52
2017-03-01,KBP1622M,8.77
2017-03-01,KBP1623M,8.31
2017-03-01,KBP1624M,7.34
2017-03-01,KBP1625M,6.47
2017-03-01,KBP1485M,7.0
2017-04-01,KBP1600M,2.36
2017-04-01,KBP1601M,6.44
2017-04-01,KBP1602M,6.65
2017-04-01,KBP1603M,6.19
2017-04-01,KBP1604M,0.91
2017-04-01,KBP1605M,6.41
2017-04-01,KBP1606M,6.55
2017-04-01,KBP1607M,7.31
2017-04-01,KBP1608M,6.05
2017-04-01,KBP1609M,7.8
2017-04-01,KBP1610M,8.5
2017-04-01,KBP1611M,9.24
2017-04-01,KBP1612M,9.74
2017-04-01,KBP1613M,2.42
2017-04-01,KBP1614M,5.69
2017-04-01,KBP1615M,2.98
2017-04-01,KBP1616M,6.58
2017-04-01,KBP1617M,7.06
2017-04-01,KBP1618M,7.42
2017-04-01,KBP1619M,7.86
2017-04-01,KBP1620M,7.53
2017-04-01,KBP1621M,8.49
2017-04-01,KBP1622M,8.83
2017-04-01,KBP1623M,8.16
2017-04-01,KBP1624M,7.34
2017-04-01,KBP1625M,6.48
2017-04-01,KBP1485M,7.0
2017-05-01,KBP1600M,2.39
2017-05-01,KBP1601M,6.42
2017-05-01,KBP1602M,6.67
2017-05-01,KBP1603M,6.21
2017-05-01,KBP1604M,0.93
2017-05-01,KBP1605M,6.41
2017-05-01,KBP1606M,6.56
2017-05-01,KBP1607M,7.32
2017-05-01,KBP1608M,5.85
2017-05-01,KBP1609M,7.77
2017-05-01,KBP1610M,8.53
2017-05-01,KBP1611M,9.26
2017-05-01,KBP1612M,9.75
2017-05-01,KBP1613M,2.4
2017-05-01,KBP1614M,5.71
2017-05-01,KBP1615M,3.0
2017-05-01,KBP1616M,6.55
2017-05-01,KBP1617M,7.05
2017-05-01,KBP1618M,7.51
2017-05-01,KBP1619M,7.79
2017-05-01,KBP1620M,7.43
2017-05-01,KBP1621M,8.48
2017-05-01,KBP1622M,8.84
2017-05-01,KBP1623M,8.27
2017-05-01,KBP1624M,7.33
2017-05-01,KBP1625M,6.48
2017-05-01,KBP1485M,7.0
2017-06-01,KBP1600M,2.35
2017-06-01,KBP1601M,6.45
2017-06-01,KBP1602M,6.67
2017-06-01,KBP1603M,6.17
2017-06-01,KBP1604M,0.9
2017-06-01,KBP1605M,6.42
2017-06-01,KBP1606M,6.56
2017-06-01,KBP1607M,7.31
2017-06-01,KBP1608M,5.73
2017-06-01,KBP1609M,7.72
2017-06-01,KBP1610M,8.52
2017-06-01,KBP1611M,9.29
2017-06-01,KBP1612M,9.78
2017-06-01,KBP1613M,2.47
2017-06-01,KBP1614M,5.69
2017-06-01,KBP1615M,2.99
2017-06-01,KBP1616M,6.59
2017-06-01,KBP1617M,7.04
2017-06-01,KBP1618M,7.51
2017-06-01,KBP1619M,7.8
2017-06-01,KBP1620M,7.45
2017-06-01,KBP1621M,8.44
2017-06-01,KBP1622M,8.87
2017-06-01,KBP1623M,8.26
2017-06-01,KBP1624M,7.35
2017-06-01,KBP1625M,6.46
2017-06-01,KBP1485M,7.0
2017-07-01,KBP1600M,2.3
2017-07-01,KBP1601M,6.29
2017-07-01,KBP1602M,6.72
2017-07-01,KBP1603M,6.13
2017-07-01,KBP1604M,0.86
2017-07-01,KBP1605M,6.28
2017-07-01,KBP1606M,6.36
2017-07-01,KBP1607M,7.15
2017-07-01,KBP1608M,5.55
2017-07-01,KBP1609M,7.71
2017-07-01,KBP1610M,8.57
2017-07-01,KBP1611M,9.36
2017-07-01,KBP1612M,9.79
2017-07-01,KBP1613M,2.51
2017-07-01,KBP1614M,5.62
2017-07-01,KBP1615M,2.95
2017-07-01,KBP1616M,6.44
2017-07-01,KBP1617M,6.91
2017-07-01,KBP1618M,7.31
2017-07-01,KBP1619M,7.65
2017-07-01,KBP1620M,7.32
2017-07-01,KBP1621M,8.46
2017-07-01,KBP1622M,8.86
2017-07-01,KBP1623M,8.3
2017-07-01,KBP1624M,7.4
2017-07-01,KBP1625M,6.43
2017-07-01,KBP1485M,6.75
2017-08-01,KBP1600M,2.28
2017-08-01,KBP1601M,6.24
2017-08-01,KBP1602M,6.66
2017-08-01,KBP1603M,6.1
2017-08-01,KBP1604M,0.85
2017-08-01,KBP1605M,6.22
2017-08-01,KBP1606M,6.34
