Period,KBP,Value
2013-04-01,KBP1614M,3.49
2013-04-01,KBP1615M,2.45
2013-04-01,KBP1616M,4.48
2013-04-01,KBP1617M,4.98
2013-04-01,KBP1618M,5.1
2013-04-01,KBP1619M,5.33
2013-04-01,KBP1620M,5.36
2013-04-01,KBP1621M,6.39
2013-04-01,KBP1622M,6.89
2013-04-01,KBP1623M,7.48
2013-04-01,KBP1624M,5.45
2013-04-01,KBP1625M,4.82
2013-04-01,KBP1485M,5.0
2013-05-01,KBP1600M,1.83
2013-05-01,KBP1601M,4.25
2013-05-01,KBP1602M,4.85
2013-05-01,KBP1603M,4.4
2013-05-01,KBP1604M,0.67
2013-05-01,KBP1605M,3.88
2013-05-01,KBP1606M,4.03
2013-05-01,KBP1607M,4.54
2013-05-01,KBP1608M,4.75
2013-05-01,KBP1609M,5.13
2013-05-01,KBP1610M,6.16
2013-05-01,KBP1611M,7.84
2013-05-01,KBP1612M,8.76
2013-05-01,KBP1613M,2.22
2013-05-01,KBP1614M,3.5
2013-05-01,KBP1615M,2.41
2013-05-01,KBP1616M,4.46
2013-05-01,KBP1617M,4.96
2013-05-01,KBP1618M,5.1
2013-05-01,KBP1619M,5.28
2013-05-01,KBP1620M,5.33
2013-05-01,KBP1621M,6.43
2013-05-01,KBP1622M,7.03
2013-05-01,KBP1623M,7.45
2013-05-01,KBP1624M,5.45
2013-05-01,KBP1625M,4.79
2013-05-01,KBP1485M,5.0
2013-06-01,KBP1600M,1.86
2013-06-01,KBP1601M,4.24
2013-06-01,KBP1602M,4.83
2013-06-01,KBP1603M,4.4
2013-06-01,KBP1604M,0.66
2013-06-01,KBP1605M,3.91
2013-06-01,KBP1606M,4.06
2013-06-01,KBP1607M,4.51
2013-06-01,KBP1608M,4.49
2013-06-01,KBP1609M,5.18
2013-06-01,KBP1610M,6.13
2013-06-01,KBP1611M,7.81
2013-06-01,KBP1612M,8.74
2013-06-01,KBP1613M,2.31
2013-06-01,KBP1614M,3.5
2013-06-01,KBP1615M,2.41
2013-06-01,KBP1616M,4.49
2013-06-01,KBP1617M,4.95
2013-06-01,KBP1618M,5.11
2013-06-01,KBP1619M,5.4
2013-06-01,KBP1620M,5.35
2013-06-01,KBP1621M,6.28
2013-06-01,KBP1622M,7.07
2013-06-01,KBP1623M,7.48
2013-06-01,KBP1624M,5.44
2013-06-01,KBP1625M,4.79
2013-06-01,KBP1485M,5.0
2013-07-01,KBP1600M,1.88
2013-07-01,KBP1601M,4.16
2013-07-01,KBP1602M,4.83
2013-07-01,KBP1603M,4.37
2013-07-01,KBP1604M,0.64
2013-07-01,KBP1605M,3.88
2013-07-01,KBP1606M,4.05
2013-07-01,KBP1607M,4.63
2013-07-01,KBP1608M,4.12
2013-07-01,KBP1609M,5.18
2013-07-01,KBP1610M,6.13
2013-07-01,KBP1611M,7.78
2013-07-01,KBP1612M,8.68
2013-07-01,KBP1613M,2.32
2013-07-01,KBP1614M,3.5
2013-07-01,KBP1615M,2.33
2013-07-01,KBP1616M,4.42
2013-07-01,KBP1617M,4.96
2013-07-01,KBP1618M,5.11
2013-07-01,KBP1619M,5.4
2013-07-01,KBP1620M,5.32
2013-07-01,KBP1621M,6.31
2013-07-01,KBP1622M,6.95
2013-07-01,KBP1623M,7.46
2013-07-01,KBP1624M,5.46
2013-07-01,KBP1625M,4.76
2013-07-01,KBP1485M,5.0
2013-08-01,KBP1600M,1.84
2013-08-01,KBP1601M,4.23
2013-08-01,KBP1602M,4.84
2013-08-01,KBP1603M,4.39
2013-08-01,KBP1604M,0.64
2013-08-01,KBP1605M,3.88
2013-08-01,KBP1606M,4.06
2013-08-01,KBP1607M,4.64
2013-08-01,KBP1608M,4.1
2013-08-01,KBP1609M,5.2
2013-08-01,KBP1610M,6.13
2013-08-01,KBP1611M,7.75
2013-08-01,KBP1612M,8.54
2013-08-01,KBP1613M,2.24
2013-08-01,KBP1614M,3.51
2013-08-01,KBP1615M,2.31
2013-08-01,KBP1616M,4.49
2013-08-01,KBP1617M,4.95
2013-08-01,KBP1618M,5.12
2013-08-01,KBP1619M,5.43
2013-08-01,KBP1620M,5.35
2013-08-01,KBP1621M,6.35
2013-08-01,KBP1622M,6.96
2013-08-01,KBP1623M,7.5
2013-08-01,KBP1624M,5.46
2013-08-01,KBP1625M,4.79
2013-08-01,KBP1485M,5.0
2013-09-01,KBP1600M,1.85
2013-09-01,KBP1601M,4.17
2013-09-01,KBP1602M,4.85
2013-09-01,KBP1603M,4.37
2013-09-01,KBP1604M,0.66
2013-09-01,KBP1605M,3.89
2013-09-01,KBP1606M,4.07
2013-09-01,KBP1607M,4.66
2013-09-01,KBP1608M,4.04
2013-09-01,KBP1609M,5.18
2013-09-01,KBP1610M,6.16
2013-09-01,KBP1611M,7.75
2013-09-01,KBP1612M,8.64
2013-09-01,KBP1613M,2.13
2013-09-01,KBP1614M,3.52
2013-09-01,KBP1615M,2.3
2013-09-01,KBP1616M,4.44
2013-09-01,KBP1617M,4.93
2013-09-01,KBP1618M,5.14
2013-09-01,KBP1619M,5.48
2013-09-01,KBP1620M,5.24
2013-09-01,KBP1621M,6.4
2013-09-01,KBP1622M,6.9
2013-09-01,KBP1623M,7.53
2013-09-01,KBP1624M,5.45
2013-09-01,KBP1625M,4.74
2013-09-01,KBP1485M,5.0
2013-10-01,KBP1600M,1.83
2013-10-01,KBP1601M,4.17
2013-10-01,KBP1602M,4.87
2013-10-01,KBP1603M,4.39
2013-10-01,KBP1604M,0.66
2013-10-01,KBP1605M,3.91
2013-10-01,KBP1606M,4.09
2013-10-01,KBP1607M,4.66
2013-10-01,KBP1608M,3.99
2013-10-01,KBP1609M,5.18
2013-10-01,KBP1610M,6.17
2013-10-01,KBP1611M,7.77
2013-10-01,KBP1612M,8.57
2013-10-01,KBP1613M,2.14
2013-10-01,KBP1614M,3.52
2013-10-01,KBP1615M,2.22
2013-10-01,KBP1616M,4.44
2013-10-01,KBP1617M,4.97
2013-10-01,KBP1618M,5.15
2013-10-01,KBP1619M,5.49
2013-10-01,KBP1620M,5.35
2013-10-01,KBP1621M,6.42
2013-10-01,KBP1622M,6.89
2013-10-01,KBP1623M,7.54
2013-10-01,KBP1624M,5.52
2013-10-01,KBP1625M,4.78
2013-10-01,KBP1485M,5.0
2013-11-01,KBP1600M,1.76
2013-11-01,KBP1601M,4.22
2013-11-01,KBP1602M,4.9
2013-11-01,KBP1603M,4.39
2013-11-01,KBP1604M,0.63
2013-11-01,KBP1605M,3.91
2013-11-01,KBP1606M,4.09
2013-11-01,KBP1607M,4.68
2013-11-01,KBP1608M,3.99
2013-11-01,KBP1609M,5.18
2013-11-01,KBP1610M,6.19
2013-11-01,KBP1611M,7.77
2013-11-01,KBP1612M,8.61
2013-11-01,KBP1613M,2.12
2013-11-01,KBP1614M,3.5
2013-11-01,KBP1615M,2.19
2013-11-01,KBP1616M,4.48
2013-11-01,KBP1617M,4.95
2013-11-01,KBP1618M,5.17
2013-11-01,KBP1619M,5.55
2013-11-01,KBP1620M,5.34
2013-11-01,KBP1621M,6.58
2013-11-01,KBP1622M,7.14
2013-11-01,KBP1623M,7.46
2013-11-01,KBP1624M,5.57
2013-11-01,KBP1625M,4.8
2013-11-01,KBP1485M,5.0
2013-12-01,KBP1600M,1.84
2013-12-01,KBP1601M,4.27
2013-12-01,KBP1602M,4.92
2013-12-01,KBP1603M,4.4
2013-12-01,KBP1604M,0.59
2013-12-01,KBP1605M,3.93
2013-12-01,KBP1606M,4.14
2013-12-01,KBP1607M,4.67
2013-12-01,KBP1608M,4.27
2013-12-01,KBP1609M,5.19
2013-12-01,KBP1610M,6.2
2013-12-01,KBP1611M,7.76
2013-12-01,KBP1612M,8.61
2013-12-01,KBP1613M,1.94
2013-12-01,KBP1614M,3.52
2013-12-01,KBP1615M,2.52
2013-12-01,KBP1616M,4.53
2013-12-01,KBP1617M,5.0
2013-12-01,KBP1618M,5.2
2013-12-01,KBP1619M,5.6
2013-12-01,KBP1620M,5.37
2013-12-01,KBP1621M,6.59
2013-12-01,KBP1622M,7.2
2013-12-01,KBP1623M,7.61
2013-12-01,KBP1624M,5.52
2013-12-01,KBP1625M,4.81
2013-12-01,KBP1485M,5.0
2014-01-01,KBP1600M,2.0
2014-01-01,KBP1601M,4.52
2014-01-01,KBP1602M,5.0
2014-01-01,KBP1603M,4.55
2014-01-01,KBP1604M,0.71
2014-01-01,KBP1605M,4.22
2014-01-01,KBP1606M,4.51
2014-01-01,KBP1607M,4.62
2014-01-01,KBP1608M,4.7
2014-01-01,KBP1609M,5.25
2014-01-01,KBP1610M,6.24
2014-01-01,KBP1611M,7.73
2014-01-01,KBP1612M,8.61
2014-01-01,KBP1613M,2.2
2014-01-01,KBP1614M,3.7
2014-01-01,KBP1615M,2.56
2014-01-01,KBP1616M,4.74
2014-01-01,KBP1617M,5.26
2014-01-01,KBP1618M,5.31
2014-01-01,KBP1619M,5.81
2014-01-01,KBP1620M,5.28
2014-01-01,KBP1621M,6.85
2014-01-01,KBP1622M,7.05
2014-01-01,KBP1623M,7.91
2014-01-01,KBP1624M,5.58
2014-01-01,KBP1625M,4.91
2014-01-01,KBP1485M,5.5
2014-02-01,KBP1600M,2.02
2014-02-01,KBP1601M,4.7
2014-02-01,KBP1602M,5.13
2014-02-01,KBP1603M,4.7
2014-02-01,KBP1604M,0.74
2014-02-01,KBP1605M,4.4
2014-02-01,KBP1606M,4.64
2014-02-01,KBP1607M,4.7
2014-02-01,KBP1608M,4.98
2014-02-01,KBP1609M,5.35
2014-02-01,KBP1610M,6.29
2014-02-01,KBP1611M,7.73
2014-02-01,KBP1612M,8.63
2014-02-01,KBP1613M,2.08
2014-02-01,KBP1614M,3.85
2014-02-01,KBP1615M,2.59
2014-02-01,KBP1616M,4.92
2014-02-01,KBP1617M,5.39
2014-02-01,KBP1618M,5.59
2014-02-01,KBP1619M,6.28
2014-02-01,KBP1620M,5.64
2014-02-01,KBP1621M,6.84
2014-02-01,KBP1622M,6.83
2014-02-01,KBP1623M,7.93
2014-02-01,KBP1624M,5.71
2014-02-01,KBP1625M,5.07
2014-02-01,KBP1485M,5.5
2014-03-01,KBP1600M,1.99
2014-03-01,KBP1601M,4.69
2014-03-01,KBP1602M,5.03
2014-03-01,KBP1603M,4.65
2014-03-01,KBP1604M,0.76
2014-03-01,KBP1605M,4.42
2014-03-01,KBP1606M,4.65
2014-03-01,KBP1607M,4.83
2014-03-01,KBP1608M,4.98
2014-03-01,KBP1609M,5.42
2014-03-01,KBP1610M,6.29
2014-03-01,KBP1611M,7.73
2014-03-01,KBP1612M,8.66
2014-03-01,KBP1613M,2.22
2014-03-01,KBP1614M,3.85
2014-03-01,KBP1615M,2.5
2014-03-01,KBP1616M,4.89
2014-03-01,KBP1617M,5.45
2014-03-01,KBP1618M,5.67
2014-03-01,KBP1619M,6.37
2014-03-01,KBP1620M,5.76
2014-03-01,KBP1621M,6.87
2014-03-01,KBP1622M,6.96
2014-03-01,KBP1623M,7.93
2014-03-01,KBP1624M,5.75
2014-03-01,KBP1625M,5.06
2014-03-01,KBP1485M,5.5
2014-04-01,KBP1600M,1.96
2014-04-01,KBP1601M,4.7
2014-04-01,KBP1602M,5.19
2014-04-01,KBP1603M,4.72
2014-04-01,KBP1604M,0.74
2014-04-01,KBP1605M,4.44
2014-04-01,KBP1606M,4.66
2014-04-01,KBP1607M,4.89
2014-04-01,KBP1608M,4.95
2014-04-01,KBP1609M,5.51
2014-04-01,KBP1610M,6.33
2014-04-01,KBP1611M,7.75
2014-04-01,KBP1612M,8.65
2014-04-01,KBP1613M,2.47
2014-04-01,KBP1614M,3.88
2014-04-01,KBP1615M,2.48
2014-04-01,KBP1616M,4.94
2014-04-01,KBP1617M,5.5
2014-04-01,KBP1618M,5.73
2014-04-01,KBP1619M,6.32
2014-04-01,KBP1620M,5.84
2014-04-01,KBP1621M,7.07
2014-04-01,KBP1622M,7.05
2014-04-01,KBP1623M,7.77
2014-04-01,KBP1624M,5.92
2014-04-01,KBP1625M,5.16
2014-04-01,KBP1485M,5.5
2014-05-01,KBP1600M,2.15
2014-05-01,KBP1601M,4.68
2014-05-01,KBP1602M,5.52
2014-05-01,KBP1603M,4.86
2014-05-01,KBP1604M,0.77
2014-05-01,KBP1605M,4.46
2014-05-01,KBP1606M,4.68
2014-05-01,KBP1607M,4.99
2014-05-01,KBP1608M,5.04
2014-05-01,KBP1609M,5.57
2014-05-01,KBP1610M,6.36
2014-05-01,KBP1611M,7.76
2014-05-01,KBP1612M,8.67
2014-05-01,KBP1613M,2.52
2014-05-01,KBP1614M,3.92
2014-05-01,KBP1615M,2.46
2014-05-01,KBP1616M,4.89
2014-05-01,KBP1617M,5.44
2014-05-01,KBP1618M,5.8
2014-05-01,KBP1619M,6.37
2014-05-01,KBP1620M,5.89
2014-05-01,KBP1621M,7.2
2014-05-01,KBP1622M,7.15
2014-05-01,KBP1623M,7.74
2014-05-01,KBP1624M,5.99
2014-05-01,KBP1625M,5.17
2014-05-01,KBP1485M,5.5
2014-06-01,KBP1600M,2.21
2014-06-01,KBP1601M,4.71
2014-06-01,KBP1602M,5.54
2014-06-01,KBP1603M,4.89
2014-06-01,KBP1604M,0.74
2014-06-01,KBP1605M,4.46
2014-06-01,KBP1606M,4.68
2014-06-01,KBP1607M,5.08
2014-06-01,KBP1608M,4.8
2014-06-01,KBP1609M,5.63
2014-06-01,KBP1610M,6.4
2014-06-01,KBP1611M,7.76
2014-06-01,KBP1612M,8.67
2014-06-01,KBP1613M,2.42
2014-06-01,KBP1614M,3.93
2014-06-01,KBP1615M,2.49
2014-06-01,KBP1616M,4.94
2014-06-01,KBP1617M,5.53
2014-06-01,KBP1618M,5.81
2014-06-01,KBP1619M,6.31
2014-06-01,KBP1620M,5.93
2014-06-01,KBP1621M,7.0
2014-06-01,KBP1622M,7.21
2014-06-01,KBP1623M,7.75
2014-06-01,KBP1624M,6.08
2014-06-01,KBP1625M,5.21
2014-06-01,KBP1485M,5.5
2014-07-01,KBP1600M,2.23
2014-07-01,KBP1601M,4.89
2014-07-01,KBP1602M,5.47
2014-07-01,KBP1603M,4.95
2014-07-01,KBP1604M,0.77
2014-07-01,KBP1605M,4.65
2014-07-01,KBP1606M,4.87
2014-07-01,KBP1607M,5.22
2014-07-01,KBP1608M,4.92
2014-07-01,KBP1609M,5.79
2014-07-01,KBP1610M,6.3
2014-07-01,KBP1611M,7.9
2014-07-01,KBP1612M,8.68
2014-07-01,KBP1613M,2.14
2014-07-01,KBP1614M,4.03
2014-07-01,KBP1615M,2.57
2014-07-01,KBP1616M,5.15
2014-07-01,KBP1617M,5.65
2014-07-01,KBP1618M,5.94
2014-07-01,KBP1619M,6.39
2014-07-01,KBP1620M,6.03
2014-07-01,KBP1621M,6.91
2014-07-01,KBP1622M,7.26
2014-07-01,KBP1623M,7.74
2014-07-01,KBP1624M,6.17
2014-07-01,KBP1625M,5.34
2014-07-01,KBP1485M,5.75
2014-08-01,KBP1600M,2.03
2014-08-01,KBP1601M,4.79
2014-08-01,KBP1602M,5.48
2014-08-01,KBP1603M,4.94
2014-08-01,KBP1604M,0.76
2014-08-01,KBP1605M,4.76
2014-08-01,KBP1606M,4.92
2014-08-01,KBP1607M,5.19
2014-08-01,KBP1608M,4.94
2014-08-01,KBP1609M,5.88
2014-08-01,KBP1610M,6.42
2014-08-01,KBP1611M,7.96
2014-08-01,KBP1612M,8.69
2014-08-01,KBP1613M,2.21
2014-08-01,KBP1614M,4.1
2014-08-01,KBP1615M,2.58
2014-08-01,KBP1616M,5.1
2014-08-01,KBP1617M,5.72
2014-08-01,KBP1618M,6.1
2014-08-01,KBP1619M,6.54
2014-08-01,KBP1620M,6.15
2014-08-01,KBP1621M,7.08
2014-08-01,KBP1622M,7.31
2014-08-01,KBP1623M,7.84
2014-08-01,KBP1624M,6.21
2014-08-01,KBP1625M,5.37
2014-08-01,KBP1485M,5.75
2014-09-01,KBP1600M,2.3
2014-09-01,KBP1601M,4.83
2014-09-01,KBP1602M,5.37
2014-09-01,KBP1603M,4.96
